Metric,Description,Advantage,Disadvantage
"cLISI (Luecken et al, 2022)","cLISI measures the cell type separation by quantifying the diversity of cell types within the local neighborhood of each cell. 
The original cLISI score is calculated based on the formula 1/sum(p^2), where p represents the proportion of each cell type within a cell's neighborhood.
cLISI scores can range from 1 to C (where C denotes the number of cell types), indicating perfect separation and perfect mixing; With an accurate embedding, each cell's neighborhood should only contain its own cell type, thus, the lower, the better. 
Following scib paper, a variant Graph cLISI is proposed to measure both graph-based and non-graph based integration output in a consistant manner. It is rescaled to [0,1], where 0 represents the worst cell type separation and 1 represents the best.",cLISI measures the degree of cell type seperation within a local neighborhood across datasets. It measures both graph-based and non-graph-based integration output in a consistant manner.,"1) Sensitive to rare cell types, possibly overestimating their mixing due to their sparse presence.
2) Dependent on precise cell type annotations, with inaccurate labels potentially influence results."
"iLISI (Luecken et al, 2022)","iLISI quantifies the diversity of batches within the local neighborhood of each cell. 
The original iLISI score is calculated based on the formula 1/sum(p^2), where p represents the proportion of each batch within a cell's neighborhood.
iLISI scores can range from 1 to B, with B being the number of batches; the higher score indicates the better batch mixing. 
Following scib paper, a variant Graph iLISI is proposed to measure both graph-based and non-graph based integration output in a consistant manner. It is rescaled to [0,1], where 0 represents the worst batch integration and 1 represents the best.", iLISI measures the degree of batch mixing within a local neighborhood across datasets. It measures both graph-based and non-graph-based integration output in a consistant manner.,"1) Sensitive to the abundance of cells between samples.
2) Sololy focuses on the Batch correction, making it favor methods that completely remove biological variance together with batch effects over those that effectively remove batch effects while preserving biological variance"
"kBET (Luecken et al, 2022)","kBET calculates whether the distribution of cell type labels in a multidimensional dataset is random. It detects batch effects after integration by comparing the label distribution of a cell's k nearest neighbors with the overall dataset's label distribution.
Following scib paper, kBET is computed per cell type to account for cell-type frequency shift, ranging from [0,1], with 1 indicating the worst batch removal. Subsequently, kBET scores for each label were averaged and subtracted from 1 to give a final kBET score.","1) kBET is flexible, where the size of k can be adjusted to alter the granularity of the test, making it suitable for datasets of varying sizes.
2) kBET calculated in cell-type aware manner reduces the potential bias cuased by the cell type frequency shift","1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Demanding in computational effort, particularly with large datasets.
3) Influenced by the choice of k value in kBET, where an unsuitable k can lead to suboptimal results."
"Graph Connectivity (Luecken et al, 2022)","Graph Connectivity assesses if the kNN graph representation of integrated data effectively interconnects all cells sharing the same identity label.
It ranges from (0,1], with 1 indicates that all cells with the same cell identity label are connected in the integrated kNN graph, implying the good batch mixing.","Graph Connectivity calculates the interconnectivity among the same cell types from different batches within the kNN graph, demonstrating their spatial cohesion as a measure of Batch correction performance.","1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Influenced by the choice of k value in kNN graph, where an unsuitable k can lead to suboptimal results."
Batch ARI,"Batch ARI measures the similarity between two clustering results for batches, considering whether pairs of elements are assigned to the same or different clusters in both clusterings. 
Batch ARI is normalized to [0,1], where 0 represents the worst and 1 represents the best.","ARI is one of the popular metrics used to measure clustering performance, which provides an auxiliary measure on Batch correction from a new perspective","Impacted by the choice of clustering algorithm, which can affect the predicted clusters."
Batch NMI,"Batch NMI measures the similarity between two clustering results for batches, based on the concept of mutual information that quantifies the amount of shared information between the clusterings. 
Batch NMI is normalized to [0,1], where 0 represents the worst and 1 represents the best.","NMI is one of the popular metrics used to measure clustering performance, which provides an auxiliary measure on Batch correction from a new perspective","Impacted by the choice of clustering algorithm, which can affect the predicted clusters."
"Batch ASW (luecken et al, 2022)","Batch ASW quantifies how close each cell is to others within the same batch cluster compared to cells in the nearest different batch cluster.
Following scib paper, batch ASW is calculated and rescaled to [0,1], where 0 represents the worst batch mixing and 1 represents the best. To account for the batch integration within cell identity cluster, it computes the batch ASW score for each cell type separately and average the label-specific batch ASW score to obtain the final batch ASW score.","ASW is one of the popular metrics used to measure clustering performance, which provides an auxiliary measure on Batch correction from a new perspective","1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Impacted by the choice of clustering algorithm, which can affect the predicted clusters."
"PCR batch (luecken et al, 2022)","Principal Component Regression measures Batch correction efficacy by using PCA to reduce dimensionality and then applying linear regression on these components to evaluate the batch variable's influence on data variability.
It ranges from [0,1], with 0 indicating the worst performance and 1 indicating the best.","1) Reduces dimensionality and multicollinearity through PCA, which contributes to model stability.
2) Capable of managing large datasets with numerous variables.",Potential information loss during PCA.
"iF1 (luecken et al, 2022)","It is specifically designed to measure how separative an isolated cell type is from other cell types within a dataset using F1 measurement, which is a weighted mean of precision and recall. 
It ranges from [0,1], where 0 represents the worst and 1 represents the best.","Isolated label F1 is capable of effectively assessing the performance for cell types, 
offering a new perspective for measuring the effectiveness of cell type separation.","1) Dependent on precise cell type annotations, with inaccurate labels potentially influence results.
2) Impacted by the choice of clustering algorithm, which can affect the predicted clusters.
3) Sensetive to the distribution of cell types across different batches."
"iASW (luecken et al, 2022)","It is specifically designed to measure how separative an isolated cell type is from other cell types within a dataset using ASW measurement. 
It ranges from [0,1], where 0 represents the worst and 1 represents the best.","Isolated label ASW is capable of effectively assessing the performance for the cell types, 
offering a new perspective for measuring the effectiveness of cell type separation.","1) Impacted by the choice of clustering algorithm, which can affect the predicted clusters.
2) Sensetive to the distribution of cell types across different batches."
